source_dataset,target_dataset,feature_set,model,n_source_rows,n_target_rows,n_common_features,accuracy,precision,recall,f1,mcc,balanced_acc,auc_roc,pr_auc
aeeem_equinox,aeeem_lucene,hybrid,random_forest,324,691,42,0.6743849493487699,0.19157088122605365,0.78125,0.3076923076923077,0.26592713200986223,0.7223634370015949,0.7800289074960127,0.3239390662425227
aeeem_equinox,aeeem_lucene,hybrid,xgboost,324,691,42,0.5832127351664255,0.15432098765432098,0.78125,0.25773195876288657,0.19998165447410174,0.6721242025518341,0.7397577751196172,0.23291074953737553
aeeem_equinox,aeeem_lucene,hybrid,lightgbm,324,691,42,0.5861070911722142,0.153125,0.765625,0.2552083333333333,0.19383756805026958,0.6667040470494419,0.7077850877192982,0.2150353823557354
aeeem_eclipse,aeeem_mylyn,hybrid,logistic_regression,997,1862,42,0.7851772287862513,0.1461187214611872,0.1306122448979592,0.13793103448275862,0.015703720576935275,0.5074829931972789,0.4405285676422703,0.13983666624904895
aeeem_eclipse,aeeem_mylyn,hybrid,random_forest,997,1862,42,0.8700322234156821,0.5263157894736842,0.12244897959183673,0.1986754966887417,0.2075143391598224,0.5528756957328386,0.6511491424027867,0.28338836744082085
aeeem_eclipse,aeeem_mylyn,hybrid,xgboost,997,1862,42,0.8635875402792696,0.45714285714285713,0.19591836734693877,0.2742857142857143,0.2354434693763837,0.5803339517625232,0.6487435790642788,0.29637404209652163
aeeem_eclipse,aeeem_mylyn,hybrid,lightgbm,997,1862,42,0.849624060150376,0.3722627737226277,0.20816326530612245,0.2670157068062827,0.2006569772371162,0.5774891774891775,0.6244330014009314,0.29623556423014097
aeeem_equinox,aeeem_mylyn,hybrid,logistic_regression,324,1862,42,0.2744360902255639,0.12533875338753386,0.7551020408163265,0.21499128413712956,-0.03609850707435589,0.4783549783549783,0.5272765135738897,0.16195324905921316
aeeem_equinox,aeeem_mylyn,hybrid,random_forest,324,1862,42,0.5708915145005371,0.17257683215130024,0.5959183673469388,0.2676443629697525,0.11067292869290489,0.581508967223253,0.614637840293817,0.27482968680428277
aeeem_equinox,aeeem_mylyn,hybrid,xgboost,324,1862,42,0.5220193340494093,0.15210355987055016,0.5755102040816327,0.24061433447098976,0.060457565168360046,0.5447124304267161,0.5859225322782174,0.2334016812270084
aeeem_equinox,aeeem_mylyn,hybrid,lightgbm,324,1862,42,0.5177228786251342,0.15080213903743314,0.5755102040816327,0.23898305084745763,0.057112748284909975,0.542238713667285,0.5903411457347318,0.2387135234841063
aeeem_eclipse,aeeem_pde,hybrid,logistic_regression,997,1497,42,0.7314629258517034,0.24538258575197888,0.4449760765550239,0.3163265306122449,0.17768552320933945,0.6114631935570151,0.642169901037178,0.27894767066789017
aeeem_eclipse,aeeem_pde,hybrid,random_forest,997,1497,42,0.7742150968603875,0.2857142857142857,0.41148325358851673,0.33725490196078434,0.21147728884839984,0.6222788938750037,0.6958267704835212,0.2994170625267858
aeeem_eclipse,aeeem_pde,hybrid,xgboost,997,1497,42,0.7461589846359385,0.2695417789757412,0.4784688995215311,0.3448275862068966,0.21518664692289147,0.6340325864067283,0.6911758150316503,0.3208074678782593
aeeem_eclipse,aeeem_pde,hybrid,lightgbm,997,1497,42,0.7682030728122913,0.27,0.3875598086124402,0.3182711198428291,0.18833890523800156,0.6087643763559096,0.6779324794198937,0.2950612896269801
aeeem_equinox,aeeem_pde,hybrid,logistic_regression,324,1497,42,0.38209752839011357,0.15576923076923077,0.7751196172248804,0.2594075260208166,0.07032361899821118,0.54672129929567,0.6056866474486612,0.20520757900836856
aeeem_equinox,aeeem_pde,hybrid,random_forest,324,1497,42,0.39946559786239144,0.16826923076923078,0.8373205741626795,0.28022417934347477,0.12473118635625316,0.5828683616155013,0.648213914232221,0.24561737379188392
