dataset,feature_set,model,cv_folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std,mcc_mean,mcc_std,balanced_acc_mean,balanced_acc_std,pr_auc_mean,pr_auc_std
aeeem_pde,static,lightgbm,5,0.8176321070234114,0.017633355450344796,0.34972695069646853,0.047164312518352375,0.34494773519163763,0.058943804599083896,0.34487548502678794,0.04199542499319952,0.7508377359844284,0.02666545636276339,0.24077167463385077,0.0490171038151904,0.61967321607107,0.02723808898434464,0.3577048410632623,0.03304746742402454
aeeem_pde,static,logistic_regression,10,0.7608366890380313,0.026992852218358412,0.3083915558723743,0.032181730710892864,0.5647619047619048,0.08423772286295975,0.3965649483984245,0.03934026785662418,0.7104200119970469,0.046570439922465574,0.28440944755795455,0.048699825513707565,0.678719978543743,0.03317002742672234,0.3540235695478676,0.09326188241340277
aeeem_pde,static,random_forest,10,0.8289843400447428,0.028583720239936078,0.38607441320289615,0.09403218920777685,0.36428571428571427,0.10411657903877856,0.3715857787201013,0.09271869718444442,0.7646516818936877,0.031156914729643326,0.2752581912007092,0.10669302772193219,0.6343866798172758,0.055149463053485656,0.3711503646189002,0.08018106019126507
aeeem_pde,static,xgboost,10,0.8022639821029083,0.0282388517520561,0.32955927603873847,0.06862229283478932,0.39309523809523805,0.09648946408424239,0.3556532905901974,0.07431408719950722,0.7538511674049465,0.0430610403856018,0.24359344573696787,0.08727401513529391,0.6309317033499446,0.04885125362895004,0.36569252501258176,0.05571717989502531
aeeem_pde,static,lightgbm,10,0.833668903803132,0.024015286864730027,0.40037179217408836,0.0856067063869876,0.36928571428571433,0.11446442156620004,0.3783327543327543,0.08710709954569579,0.7462262942967883,0.03753138189045246,0.28716136479688553,0.09625256723408954,0.6392213455149502,0.05348872525988315,0.3767525155560276,0.04701259810292784
aeeem_pde,hybrid,logistic_regression,5,0.7701828316610925,0.019011980827635677,0.29830637529114507,0.04904050950635095,0.48269454123112665,0.09456773079286443,0.3686061437328728,0.06487503659369129,0.688972401668637,0.05234107873752316,0.2479324455372321,0.08034139833491076,0.6497250946435547,0.05009815662041907,0.3585474626092358,0.04505824864796454
aeeem_pde,hybrid,random_forest,5,0.839685618729097,0.016122992370383903,0.42373690309003137,0.054280007669252534,0.40185830429732877,0.053634145825871386,0.4117195914573234,0.05000858014469925,0.7804242765206457,0.028737406522393368,0.3197065065896395,0.0582186907813472,0.6562846252581868,0.028956039821611695,0.3763259447276489,0.03261172218185478
aeeem_pde,hybrid,xgboost,5,0.8216231884057972,0.02167816480641909,0.3832756377063709,0.062116010929415315,0.44459930313588847,0.06148314848735253,0.41108137486961027,0.05999464103143195,0.769918254271287,0.03980924493274087,0.30833713760718473,0.07178833584270192,0.6636820302365413,0.036920922387872965,0.38405618675314307,0.03504464655208349
aeeem_pde,hybrid,lightgbm,5,0.8356499442586399,0.01510689256196209,0.40788074702708854,0.056587977407064186,0.39210220673635304,0.05789956976225343,0.39955387249003915,0.05639209275743045,0.7645399704737122,0.040894993970844826,0.30468109656936815,0.06431744868280088,0.649850156244236,0.032164821402457085,0.37119382023130976,0.04082828882243915
aeeem_pde,hybrid,logistic_regression,10,0.7601431767337807,0.04465046813827151,0.28513022659364123,0.07406684745601684,0.44976190476190475,0.09285680368951761,0.34593279325068055,0.0763299198984524,0.690998638796604,0.05568260089550098,0.21949530856037652,0.09473335716446074,0.6301528758305648,0.05228861824729143,0.3636460945239202,0.0567552220429321
aeeem_pde,hybrid,random_forest,10,0.8389843400447428,0.03804751771568632,0.4259863533514093,0.1633588553114298,0.3733333333333333,0.12885917242855485,0.3935339709998634,0.1335277280693631,0.7819265930693983,0.055935139764121365,0.3049500288472383,0.15751618039857596,0.6439613614341086,0.07291316487532183,0.3981391675916782,0.07936671805608729
aeeem_pde,hybrid,xgboost,10,0.8315928411633109,0.03488232279717022,0.4161397841289146,0.10838850462685953,0.45404761904761903,0.09894919051132792,0.43155560317202546,0.09752045619783628,0.7803685054448136,0.05643554590279334,0.33547904377777027,0.11698104398822942,0.6734415663067553,0.05849005444653189,0.42054973839307097,0.08155333112359411
aeeem_pde,hybrid,lightgbm,10,0.8242774049217003,0.02448616417346247,0.3636154003935671,0.09172656208446475,0.3157142857142857,0.06756947284737211,0.3346285849035349,0.0685028824966237,0.765357661960133,0.057483143525536184,0.23705301764800715,0.08246422660951316,0.6112607281284607,0.03714396271961659,0.3912680174313739,0.07456937543226076
cm1,static,logistic_regression,5,0.7432634032634032,0.02548138479320331,0.2594312988353236,0.042232357171860135,0.5527777777777778,0.15416041028346233,0.3517524095095309,0.068392162669053,0.6940058479532164,0.07650614269708983,0.24208962566066167,0.09941303228745911,0.6623538011695906,0.07203835177932545,0.348500984200317,0.17896729934811906
cm1,static,random_forest,5,0.8075524475524476,0.03360065272088622,0.19047619047619047,0.11511356908222449,0.20833333333333331,0.14433756729740643,0.19619047619047617,0.12483095144998814,0.7362085769980508,0.07480558412683792,0.09194810870812349,0.10281637219877435,0.5515350877192982,0.048345192291773226,0.3317699004581124,0.0917206530225069
